Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
11.01850249589787,993744773.3566368,10.218709899274252,731510513.0062536,10.265798572605721,11497142.016127085,,,,,10.299914788457878,277766027.03485125,,,,,10.305143531180647,1377927.412241306,,,10.316948743988275,3595145.4847221407,,,,,,,,,,,,
11.581317873796337,978603349.2483603,11.00344630285723,683859045.2726169,10.790145775586124,11379313.19533578,,,,,10.825750202750534,292447796.08353966,,,,,10.820276396246198,1477657.9782555858,,,10.819046114186717,3862971.8167376644,,,,,,,,,,,,
12.172879434902105,964094537.7794228,11.635709892499971,647115518.2803712,11.341270671290697,11274300.084708085,,,,,11.378450086248591,306534183.49980676,,,,,11.338330926844733,1579626.8159108784,,,12.308566211671057,4641601.262917094,,,,,,,,,,,,
12.794637299586109,953722623.7696614,12.147372710604762,621992964.4727608,11.914566550249456,11126869.901886007,,,,,11.959376198770507,320692842.4451129,,,,,11.89315945553275,1685446.0964245587,,,12.871179029115146,4918189.373536719,,,,,,,,,,,,
13.44818961582312,936706443.865806,12.822767916639448,588333531.924579,12.529466027657701,10931205.394186465,,,,,12.569965562137613,335217591.33804685,,,,,12.538049868415262,1803817.2518200364,,,13.38359760752412,5149887.508890821,,,,,,,,,,,,
14.135112531457654,922216926.0890472,13.511891884377095,557328253.2981671,13.169483785191812,10713812.869334638,,,,,13.211731326293894,350219757.6119255,,,,,13.217923252391989,1924875.3698282982,,,14.885653267141032,5836282.701259106,,,,,,,,,,,,
14.85712093306326,908272277.6708442,14.223737256528556,527292646.4167371,13.861011643415711,10500743.70207765,,,,,13.886287225256803,364201101.30777115,,,,,13.836904593246837,2033239.5967038109,,,15.85950575945085,6238313.352268999,,,,,,,,,,,,
15.616004222552991,895236463.1844403,14.900918122358622,500448483.89774895,14.516345871645512,10323767.469311707,,,,,14.595261295833383,380304447.5547374,,,,,14.557932512849423,2149056.848541769,,,16.29614222316293,6414260.113690835,,,,,,,,,,,,
16.413667252912372,879997329.4626552,15.69069116315547,472395601.2636165,15.168307422965318,10103872.97401445,,,,,15.340447548792898,396098404.246861,,,,,15.360630188331536,2272492.904682356,,,18.367198567928554,7108683.050881253,,,,,,,,,,,,
17.252056094968783,867486469.0094806,16.529820754214178,444940173.69645077,16.095524921698587,9788326.212900257,,,,,16.123735289555615,408881488.23618287,,,,,16.025785536898688,2375301.6261970475,,,19.180537209409025,7352330.413572127,,,,,,,,,,,,
18.13327301233837,854625080.7459145,17.427012164186348,416676970.72296625,16.894748749061936,9570958.91805031,,,,,16.94701571958034,422222072.1016539,,,,,17.01086645602275,2502870.8662028867,,,19.842975518529713,7516986.721744876,,,,,,,,,,,,
19.059494101764276,842822154.4704474,18.282938826789227,393075223.8675797,17.75778779315718,9327619.876148583,,,,,17.812365525392664,433906966.0311712,,,,,17.786522610360382,2605606.3768233545,,,22.372200269678064,8165236.339342849,,,,,,,,,,,,
20.033040899769713,829471527.4724228,19.27381698512548,368750177.5891475,18.63118196905576,9031662.574192943,,,,,18.721938543623637,443624363.79464024,,,,,18.843331671075838,2732049.074856453,,,23.51464768508601,8319766.887546113,,,,,,,,,,,,
21.056293585450554,818606071.0171514,20.231165587704176,346469871.44593257,19.61845921781723,8764034.4487819,,,,,19.677923446345527,455666800.0189762,,,,,19.760650312019138,2833517.557468717,,,24.382010782243828,8418914.12924889,,,,,,,,,,,,
22.131876502592586,801734066.3828567,21.25532927556767,324681752.31156564,20.63002499605046,8485959.224432303,,,,,20.682783860369568,464433994.32807004,,,,,21.037794210576603,2938519.13653724,,,27.67755363996738,8800221.715493016,,,,,,,,,,,,
23.262424195568887,783205582.2821275,22.265683968777633,305044470.10952824,21.42040134229852,8239592.686867992,,,,,21.738996147416476,471180581.3922429,,,,,22.078656357987533,3026936.1181283323,,,29.090992161113416,8909682.503455285,,,,,,,,,,,,
24.45063278119601,772559525.0008191,23.48313260478047,283402139.84283155,23.197916199864498,7813051.778074684,,,,,22.849164154513495,477041319.83487946,,,,,23.05640170809306,3110934.7433611616,,,30.164089611324318,8980635.895107403,,,,,,,,,,,,
25.69958066120268,758366307.5911025,24.6831434530561,264229302.2962227,24.383070554369368,7509247.15325559,,,,,24.01602627000559,482974956.5599338,,,,,24.390953458090852,3208340.700050659,,,34.19726645505114,9113908.992200535,,,,,,,,,,,,
