   34785000.000000000        69570000.000000000       -10160888237530114.       -1.7672324867124249E+023
           2   69570000.000000000        34785000.000000000       -40412379982446256.       -1.5824678863606355E+024
           3   104355000.00000000        69570000.000000000       -90495457257541376.       -4.7303523670642120E+024
           4   139140000.00000000        104355000.00000000       -1.6011838397833696E+017  -1.0300070353750663E+025
           5   173925000.00000000        139140000.00000000       -2.4833391469682259E+017  -1.8938365576479636E+025
           6   208710000.00000000        173925000.00000000       -3.5560639545218867E+017  -3.1308134042284022E+025
           7   243495000.00000000        208710000.00000000       -4.8115116484713978E+017  -4.8044977311491780E+025
           8   278280000.00000000        243495000.00000000       -6.2301312627347443E+017  -6.9716488908914594E+025
           9   313065000.00000000        278280000.00000000       -7.8186976110768154E+017  -9.6913828549045303E+025
          10   347850000.00000000        313065000.00000000       -9.5612881795331430E+017  -1.3017276948155134E+026
          11   382635000.00000000        347850000.00000000       -1.1462181907282691E+018  -1.7004396924603419E+026
          12   417420000.00000000        382635000.00000000       -1.3500196383591598E+018  -2.1700440236635754E+026
          13   452205000.00000000        417420000.00000000       -1.5684262131672105E+018  -2.7156210819137895E+026
          14   486990000.00000000        452205000.00000000       -1.7955985355810319E+018  -3.3402200325156515E+026
          15   521775000.00000000        486990000.00000000       -2.0373231734457567E+018  -4.0489028983987580E+026
          16   556560000.00000000        521775000.00000000       -2.2861924729147348E+018  -4.8441549501021484E+026
          17   591345000.00000000        556560000.00000000       -2.5442955506730721E+018  -5.7291881574037766E+026
          18   626130000.00000000        591345000.00000000       -2.8157041150621164E+018  -6.7086308338281344E+026
          19   660915000.00000000        626130000.00000000       -3.0900424385728394E+018  -7.7835020960856966E+026
          20   695700000.00000000        660915000.00000000       -3.3647132429849508E+018  -8.9539175976580118E+026
          21   730485000.00000000        695700000.00000000       -3.6504781150969339E+018  -1.0223736409994480E+027
          22   765270000.00000000        730485000.00000000       -3.9407428835953101E+018  -1.1594523822053108E+027
          23   800055000.00000000        765270000.00000000       -4.2267378182677007E+018  -1.3064794572137528E+027
          24   834840000.00000000        800055000.00000000       -4.5196622496976942E+018  -1.4636959085694872E+027
          25   869625000.00000000        834840000.00000000       -4.8080704290480978E+018  -1.6309446384439252E+027
          26   904410000.00000000        869625000.00000000       -5.0961437759430339E+018  -1.8082139996901036E+027
          27   939195000.00000000        904410000.00000000       -5.3791818157632799E+018  -1.9953288391514293E+027
          28   973980000.00000000        939195000.00000000       -5.6634003639976233E+018  -2.1923302208130865E+027
          29   1008765000.0000000        973980000.00000000       -5.9405776819551191E+018  -2.3989732154798952E+027
          30   1043550000.0000000        1008765000.0000000       -6.2176362225185280E+018  -2.6152536914802020E+027
          31   1078335000.0000000        1043550000.0000000       -6.4726416486999532E+018  -2.8404045312302299E+027
          32   1113120000.0000000        1078335000.0000000       -6.7384948240247142E+018  -3.0748030736839294E+027
          33   1147905000.0000000        1113120000.0000000       -6.9792735948390072E+018  -3.3175771056804046E+027
          34   1182690000.0000000        1147905000.0000000       -7.2111894570573107E+018  -3.5684183309441434E+027
          35   1217475000.0000000        1182690000.0000000       -7.4339667273274245E+018  -3.8270088635542279E+027
          36   1252260000.0000000        1217475000.0000000       -7.6470239448793774E+018  -4.0930105914768568E+027
          37   1287045000.0000000        1252260000.0000000       -7.8493969511308667E+018  -4.3660518644219443E+027
          38   1321830000.0000000        1287045000.0000000       -8.0409851294941686E+018  -4.6457575321513988E+027
          39   1356615000.0000000        1321830000.0000000       -8.2028305390493512E+018  -4.9310929924522303E+027
          40   1391400000.0000000        1356615000.0000000       -8.3707254508169779E+018  -5.2222686772588993E+027
          41   1426185000.0000000        1391400000.0000000       -8.5068470830838344E+018  -5.5181793530439705E+027
          42   1460970000.0000000        1426185000.0000000       -8.6292106255374121E+018  -5.8183464446532897E+027
          43   1495754999.9999998        1460970000.0000000       -8.7586059657368617E+018  -6.1230145531714441E+027
          44   1530540000.0000000        1495754999.9999998       -8.8534135905476710E+018  -6.4309805449186466E+027
          45   1565325000.0000000        1530540000.0000000       -8.9122068490281533E+018  -6.7409916601620906E+027
          46   1600110000.0000000        1565325000.0000000       -8.9719776622328648E+018  -7.0530819031428605E+027
          47   1634895000.0000000        1600110000.0000000       -9.0233235031725158E+018  -7.3669582112007159E+027
          48   1669680000.0000000        1634895000.0000000       -9.0306460040208794E+018  -7.6810892324505816E+027
          49   1704465000.0000000        1669680000.0000000       -9.0530045138682952E+018  -7.9959979944654899E+027
          50   1739250000.0000000        1704465000.0000000       -9.0366373238541875E+018  -8.3103374237757582E+027
          51   1774035000.0000000        1739250000.0000000       -8.9991893895105731E+018  -8.6233742266898832E+027
          52   1808820000.0000000        1774035000.0000000       -8.9468209074749829E+018  -8.9345893919564008E+027
          53   1843605000.0000000        1808820000.0000000       -8.8865948319150510E+018  -9.2437095931845664E+027
          54   1878390000.0000000        1843605000.0000000       -8.8060344488797215E+018  -9.5500275014888471E+027
          55   1913175000.0000000        1878390000.0000000       -8.7120836526233692E+018  -9.8530773313453514E+027
          56   1947960000.0000000        1913175000.0000000       -8.6108219770060155E+018  -1.0152604773815505E+028
          57   1982745000.0000000        1947960000.0000000       -8.4635585987051059E+018  -1.0447009659671461E+028
          58   2017530000.0000000        1982745000.0000000       -8.3032228086692465E+018  -1.0735837265071021E+028
          59   2052315000.0000000        2017530000.0000000       -8.1586938179782902E+018  -1.1019637429529397E+028
          60   2087100000.0000000        2052315000.0000000       -7.9805746959407462E+018  -1.1297241720327695E+028
          61   2121885000.0000000        2087100000.0000000       -7.7855468353301033E+018  -1.1568061966994653E+028
          62   2156670000.0000000        2121885000.0000000       -7.5802851299188255E+018  -1.1831742185238881E+028
          63   2191455000.0000000        2156670000.0000000       -7.3650534521153905E+018  -1.2087935569570714E+028
          64   2226240000.0000000        2191455000.0000000       -7.1118241730284841E+018  -1.2335320373429510E+028
          65   2261025000.0000000        2226240000.0000000       -6.8791415584646994E+018  -1.2574611312540705E+028
          66   2295810000.0000000        2261025000.0000000       -6.6094416899630469E+018  -1.2804520741726070E+028
          67   2330595000.0000000        2295810000.0000000       -6.3327333847580426E+018  -1.3024804872514878E+028
          68   2365380000.0000000        2330595000.0000000       -6.0744785280360172E+018  -1.3236105608112611E+028
          69   2400165000.0000000        2365380000.0000000       -5.7857945534196562E+018  -1.3437364471653314E+028
          70   2434950000.0000000        2400165000.0000000       -5.4923615398590403E+018  -1.3628416267817310E+028
          71   2469735000.0000000        2434950000.0000000       -5.1947859115259095E+018  -1.3809116895749740E+028
          72   2504520000.0000000        2469735000.0000000       -4.8645128522615962E+018  -1.3978328975315660E+028
          73   2539305000.0000000        2504520000.0000000       -4.5574517573036887E+018  -1.4136859934693469E+028
          74   2574090000.0000000        2539305000.0000000       -4.2230280259502996E+018  -1.4283757964576150E+028
          75   2608875000.0000000        2574090000.0000000       -3.9166505284887265E+018  -1.4419998653209631E+028
          76   2643660000.0000000        2608875000.0000000       -3.5780639556379177E+018  -1.4544461607906495E+028
          77   2678445000.0000000        2643660000.0000000       -3.2429127215127895E+018  -1.4657266326924318E+028
          78   2713230000.0000000        2678445000.0000000       -2.9066635968116808E+018  -1.4758374620139412E+028
          79   2748015000.0000000        2713230000.0000000       -2.5747406459118310E+018  -1.4847936973507456E+028
          80   2782800000.0000000        2748015000.0000000       -2.2435673008485164E+018  -1.4925979462067471E+028
          81   2817585000.0000000        2782800000.0000000       -1.8893900399173404E+018  -1.4991701894605994E+028
          82   2852370000.0000000        2817585000.0000000       -1.5660416864944794E+018  -1.5046176654670705E+028
          83   2887155000.0000000        2852370000.0000000       -1.2208443858072771E+018  -1.5088643726631011E+028
          84   2921940000.0000000        2887155000.0000000       -9.0765745213512115E+017  -1.5120216591103531E+028
          85   2956725000.0000000        2921940000.0000000       -5.7371522675174944E+017  -1.5140173275266091E+028
          86   2991509999.9999995        2956725000.0000000       -2.4603462719059421E+017  -1.5148731589772917E+028
          87   3026295000.0000000        2991509999.9999995        74238895406282048.       -1.5146149189796209E+028
          88   3061080000.0000000        3026295000.0000000        4.1309211989420608E+017  -1.5131779780405689E+028
          89   3095865000.0000000        3061080000.0000000        7.1713576611403341E+017  -1.5106834212781413E+028
          90   3130650000.0000000        3095865000.0000000        1.0379661107202164E+018  -1.5070728561620009E+028
          91   3165435000.0000000        3130650000.0000000        1.3250249805257024E+018  -1.5024637567672423E+028
          92   3200220000.0000000        3165435000.0000000        1.6267086925316874E+018  -1.4968052505802709E+028
          93   3235005000.0000000        3200220000.0000000        1.9180613766672684E+018  -1.4901332740815339E+028
          94   3269790000.0000000        3235005000.0000000        2.1987765517103729E+018  -1.4824848298464094E+028
          95   3304575000.0000000        3269790000.0000000        2.4706160749237509E+018  -1.4738907918297872E+028
          96   3339360000.0000000        3304575000.0000000        2.7297310299847997E+018  -1.4643954224419852E+028
          97   3374145000.0000000        3339360000.0000000        3.0005460902248120E+018  -1.4539580228671382E+028
          98   3408930000.0000000        3374145000.0000000        3.2367633814926730E+018  -1.4426989414446159E+028
          99   3443715000.0000000        3408930000.0000000        3.4836643546968504E+018  -1.4305810149868028E+028
         100   3478500000.0000000        3443715000.0000000        3.7183139002237865E+018  -1.4176468600848744E+028
         101   3513285000.0000000        3478500000.0000000        3.9437460485057894E+018  -1.4039285394551470E+028
         102   3548070000.0000000        3513285000.0000000        4.1539483637274296E+018  -1.3894790300719210E+028
         103   3582855000.0000000        3548070000.0000000        4.3517982575874289E+018  -1.3743412998329032E+028
         104   3617640000.0000000        3582855000.0000000        4.5374598894805217E+018  -1.3585577456073451E+028
         105   3652425000.0000000        3617640000.0000000        4.7109982320319283E+018  -1.3421705382572219E+028
         106   3687210000.0000000        3652425000.0000000        4.8915509713891625E+018  -1.3251552782032447E+028
         107   3721995000.0000000        3687210000.0000000        5.0406990115060931E+018  -1.3076212066917208E+028
         108   3756780000.0000000        3721995000.0000000        5.1963130723085425E+018  -1.2895458316696955E+028
         109   3791565000.0000000        3756780000.0000000        5.3217210047143342E+018  -1.2710342251547968E+028
         110   3826350000.0000000        3791565000.0000000        5.4531125044392100E+018  -1.2520655733081050E+028
         111   3861135000.0000000        3826350000.0000000        5.5725671585386066E+018  -1.2326813984471284E+028
         112   3895920000.0000000        3861135000.0000000        5.6803456977560269E+018  -1.2129223159374842E+028
         113   3930705000.0000000        3895920000.0000000        5.7764418338847437E+018  -1.1928289630183160E+028
         114   3965490000.0000000        3930705000.0000000        5.8615197062459617E+018  -1.1724396667201394E+028
         115   4000275000.0000000        3965490000.0000000        5.9354686577218836E+018  -1.1517931389942539E+028
         116   4035060000.0000000        4000275000.0000000        5.9990044628899103E+018  -1.1309256019700914E+028
         117   4069845000.0000000        4035060000.0000000        6.0666219966962811E+018  -1.1098228573545833E+028
         118   4104630000.0000000        4069845000.0000000        6.1093654728304845E+018  -1.0885714295573425E+028
         119   4139415000.0000000        4104630000.0000000        6.1425424313082900E+018  -1.0672045957100366E+028
         120   4174200000.0000000        4139415000.0000000        6.1796264630946888E+018  -1.0457087650581616E+028
         121   4208985000.0000000        4174200000.0000000        6.2070808824155228E+018  -1.0241174342086793E+028
         122   4243770000.0000000        4208985000.0000000        6.2126151123181722E+018  -1.0025068525404804E+028
         123   4278555000.0000000        4243770000.0000000        6.2221239702179185E+018  -9.8086319431007739E+027
         124   4313340000.0000000        4278555000.0000000        6.2229779468031601E+018  -9.5921656552212263E+027
         125   4348125000.0000000        4313340000.0000000        6.2156978235197706E+018  -9.3759526064300912E+027
         126   4382910000.0000000        4348125000.0000000        6.2005123885456138E+018  -9.1602677829945316E+027
         127   4417695000.0000000        4382910000.0000000        6.1777881116959529E+018  -8.9453734235291881E+027
         128   4452480000.0000000        4417695000.0000000        6.1479036046040146E+018  -8.7315185966430372E+027
         129   4487265000.0000000        4452480000.0000000        6.1162193490271386E+018  -8.5187659065871284E+027
         130   4522050000.0000000        4487265000.0000000        6.0729898437195602E+018  -8.3075169548733430E+027
         131   4556835000.0000000        4522050000.0000000        6.0237533683347999E+018  -8.0979806939558167E+027
         132   4591620000.0000000        4556835000.0000000        5.9782282372063150E+018  -7.8900280247245954E+027
         133   4626405000.0000000        4591620000.0000000        5.9178612825305354E+018  -7.6841752200117711E+027
         134   4661190000.0000000        4626405000.0000000        5.8611854619641160E+018  -7.4802938837173496E+027
         135   4695975000.0000000        4661190000.0000000        5.7993238128473528E+018  -7.2785644048874541E+027
         136   4730760000.0000000        4695975000.0000000        5.7245752256225290E+018  -7.0794350556641745E+027
         137   4765545000.0000000        4730760000.0000000        5.6538153321531791E+018  -6.8827670893352263E+027
         138   4800330000.0000000        4765545000.0000000        5.5789242615961610E+018  -6.6887042088956037E+027
         139   4835115000.0000000        4800330000.0000000        5.5002314326743890E+018  -6.4973786585100253E+027
